equip_id	 utility	 size	 pos_x 	 pos_y	 pos_z
EAP3516	 산배기(ACID)	 [기본 사이즈] 25 mm	 186549.0 	 68123.9	 41325.0
EAP3516	 산배기(ACID)	 [기본 사이즈] 25 mm	 186549.0 	 67703.9	 41325.0
EAP3516	 산배기(ACID)	 [기본 사이즈] 100 mm	 183750.48 	 66878.1	 50006.0
EAP3516	 산배기(ACID)	 [기본 사이즈] 100 mm	 183930.48 	 65818.1	 50006.0
EAP3516	 산배기(ACID)	 [기본 사이즈] 100 mm	 183610.48 	 66878.1	 50006.0
EAP3516	 산배기(ACID)	 [기본 사이즈] 100 mm	 183610.48 	 65828.1	 50006.0
EAP3516	 산배기(ACID)	 [기본 사이즈] 100 mm	 183750.48 	 65828.1	 50006.0
EAP3516	 산배기(ACID)	 [기본 사이즈] 100 mm	 183930.48 	 66888.1	 50006.0
EAP3516	 캐비넷배기(CABINET)	 [기본 사이즈] 150 mm	 184537.61 	 66391.88	 52488.73
EAP3516	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 185791.34 	 67231.35	 52788.07
EAP3516	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 184712.12 	 67349.59	 52788.07
EAP3516	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 186228.65 	 66237.43	 52788.07
EAP3529	 산배기(ACID)	 [기본 사이즈] 25 mm	 194876.0 	 60914.52	 41325.0
EAP3529	 산배기(ACID)	 [기본 사이즈] 40 mm	 195056.62 	 58595.64	 50013.1
EAP3529	 산배기(ACID)	 [기본 사이즈] 25 mm	 194876.0 	 61334.52	 41325.0
EAP3529	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 196967.47 	 60151.17	 52788.07
EAP3529	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 197406.76 	 59158.06	 52788.07
EAP3529	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 195888.1 	 60269.17	 52788.07
EAP3529	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 195460.03 	 59291.4	 52580.83
EMA3504	 산배기(ACID)	 [기본 사이즈] 25 mm	 205943.49 	 56726.59	 50475.5
EMA3504	 산배기(ACID)	 [기본 사이즈] 25 mm	 205906.44 	 56726.55	 49993.5
EMA3504	 산배기(ACID)	 [기본 사이즈] 40 mm	 207039.95 	 58430.36	 50157.0
EMA3504	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 208661.2 	 58356.4	 49844.92
EMA3504	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 208661.2 	 58504.99	 49844.92
ELD3507	 열배기(HEAT)	 [기본 사이즈] 100 mm	 191771.08 	 60064.14	 37458.5
ELD3507	 열배기(HEAT)	 [기본 사이즈] 100 mm	 189639.26 	 58088.69	 50011.54
ELD3507	 열배기(HEAT)	 [기본 사이즈] 100 mm	 189853.29 	 60383.22	 50011.54
ELD3507	 열배기(HEAT)	 [기본 사이즈] 100 mm	 189643.83 	 59236.74	 53189.93
ELD3507	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 189384.75 	 59236.74	 53189.93
ELD3507	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 190498.76 	 58624.74	 53160.0
ELD3507	 산배기(ACID)	 [기본 사이즈] 100 mm	 191424.36 	 60189.98	 49950.0
ELD3507	 산배기(ACID)	 [기본 사이즈] 100 mm	 191424.36 	 58283.28	 49950.0
ELD3507	 산배기(ACID)	 [기본 사이즈] 150 mm	 190758.83 	 59617.65	 49740.0
ELD3507	 산배기(ACID)	 [기본 사이즈] 150 mm	 191063.75 	 58906.41	 49740.0
ELD3507	 산배기(ACID)	 [기본 사이즈] 150 mm	 191063.63 	 59953.95	 49740.0
ELD3507	 산배기(ACID)	 [기본 사이즈] 150 mm	 190758.95 	 58730.82	 49740.0
ESP3504	 산배기(ACID)	 [기본 사이즈] 25 mm	 202674.49 	 78226.79	 50475.5
ESP3504	 산배기(ACID)	 [기본 사이즈] 25 mm	 202711.54 	 78226.83	 49993.5
ESP3504	 산배기(ACID)	 [기본 사이즈] 100 mm	 202371.95 	 80356.85	 50043.6
ESP3504	 산배기(ACID)	 [기본 사이즈] 100 mm	 202501.95 	 80486.85	 50043.6
ESP3504	 산배기(ACID)	 [기본 사이즈] 100 mm	 202371.95 	 79411.85	 50043.6
ESP3504	 산배기(ACID)	 [기본 사이즈] 100 mm	 202166.95 	 80501.85	 50043.6
ESP3504	 산배기(ACID)	 [기본 사이즈] 100 mm	 202501.95 	 79281.85	 50043.6
ESP3504	 산배기(ACID)	 [기본 사이즈] 100 mm	 202166.95 	 79281.85	 50043.6
ESP3504	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 200244.35 	 80330.88	 53118.4
ESP3504	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 201003.02 	 79131.5	 53118.4
ESP3504	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 200219.19 	 79475.32	 53118.4
ELO3510	 산배기(ACID)	 [기본 사이즈] 25 mm	 201767.12 	 62036.18	 41339.5
ELO3510	 산배기(ACID)	 [기본 사이즈] 25 mm	 201767.12 	 62456.18	 41339.5
ELO3510	 산배기(ACID)	 [기본 사이즈] 150 mm	 202451.05 	 63431.81	 49740.0
ELO3510	 산배기(ACID)	 [기본 사이즈] 100 mm	 202105.45 	 63841.15	 49950.0
ELO3510	 산배기(ACID)	 [기본 사이즈] 150 mm	 202146.37 	 62208.68	 49740.0
ELO3510	 산배기(ACID)	 [기본 사이즈] 150 mm	 202146.25 	 63095.51	 49740.0
ELO3510	 산배기(ACID)	 [기본 사이즈] 100 mm	 202105.45 	 61676.3	 49950.0
ELO3510	 산배기(ACID)	 [기본 사이즈] 150 mm	 202451.17 	 62384.27	 49740.0
ELO3510	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 201878.67 	 62099.11	 53160.61
ELO3510	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 200764.89 	 62711.11	 53190.54
EAP3521	 산배기(ACID)	 [기본 사이즈] 25 mm	 186549.0 	 82320.16	 41325.0
EAP3521	 산배기(ACID)	 [기본 사이즈] 100 mm	 183580.48 	 82587.81	 50003.7
EAP3521	 산배기(ACID)	 [기본 사이즈] 100 mm	 183710.48 	 82457.81	 50003.7
EAP3521	 산배기(ACID)	 [기본 사이즈] 100 mm	 183905.48 	 82587.81	 50003.7
EAP3521	 산배기(ACID)	 [기본 사이즈] 100 mm	 183580.48 	 81387.81	 50003.7
EAP3521	 산배기(ACID)	 [기본 사이즈] 100 mm	 183710.48 	 81517.81	 50003.7
EAP3521	 산배기(ACID)	 [기본 사이즈] 100 mm	 183905.48 	 81372.81	 50003.7
EAP3521	 산배기(ACID)	 [기본 사이즈] 25 mm	 186549.0 	 81900.16	 41325.0
EAP3521	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 184712.11 	 82984.3	 52788.07
EAP3521	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 184280.25 	 82001.89	 52511.94
EAP3521	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 186228.63 	 81872.14	 52788.07
EAP3521	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 185791.32 	 82866.06	 52788.07
EAP3522	 열배기(HEAT)	 [기본 사이즈] 100 mm	 195174.1 	 86476.37	 37138.0
EAP3522	 열배기(HEAT)	 [기본 사이즈] 100 mm	 195174.1 	 85207.37	 37138.0
EAP3522	 열배기(HEAT)	 [기본 사이즈] 100 mm	 195174.1 	 87745.37	 37138.0
