S: Lateral Number,EQPID,CHAMBER,최소,최대,S: Module Name,S: idx,S: Name,S: Division,S: Subdivision 1,S: Subdivision 2,S: Con Subdivision 1,S: Con Subdivision 2,S: BIM Design Info,S: BIM (Instance) ID,S: Library Path,S: Connector Name,S: Shape,S: Utility,S: Utility Group,S: Length,S: Size,Status,S: GUID,S: Connector GUID,S: Tag,S: Connector Tag,S: Connector Position X,S: Connector Position Y,S: Connector Position Z,설비poc,pump poc,1,S: Flow,S: Connection Tag,S: Destination,S: Destination Tag,S: Destination Connector Tag,S: Destination ID,S: Construction Code,S: Destination Construction Code,S: Connected Utility,S: Connected Material,T: Lateral Number,T: Module Name,T: idx,T: Name,펌프,설비,설비/펌프,T: Tag,T: GUID,T: Division,T: Subdivision 1,T: Subdivision 2,T: Con Subdivision 1,T: Con Subdivision 2,T: BIM Design Info,T: BIM (Instance) ID,T: Position,T: Connector Name,T: Utility,T: Utility Group,T: Size,T: Connector Tag,T: Origin,T: Flow,T: Connection Tag,T: Destination,T: Destination Tag,T: Destination Connector Tag,T: Construction Code,T: Destination Construction Code,T: Connected Utility,T: Connected Material,S: Connector Use,T: Connector Use,S: POC No,T: POC No,S: Design Code,T: Design Code
EAP4231A,EAP4231,A,15249.511,2300,A,,[VAC-037] DC CLAMP_CENTERING(FKM)_125A_MF_ASSY,PlumbingComponent,CLAMP,DC CLAMP,(none),(none),,3595067774,/P4-1 PJT/퍼실리티/Component/진공/Centering,01_125A,Round,,,0 mm,125 mm,EQP,d5602ac8-c328-4bbb-b005-c03f016a1a0d,ab543254-727e-2b8a-732c-d2db7535d478,EAP4231,,130449.766,86955.773,5355.501,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,01_125A (FORELINE),01_125A (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4231A,EAP4231,A,15249.511,2300,A,,[VAC-074] MF FLANGE_NW125,PlumbingComponent,FLANGE,MF FLANGE,(none),(none),,3481576537,/P4-1 PJT/퍼실리티/Component/진공/Flange,02_125A_pipe,Round,,,0 mm,125 mm,EQP,5560e166-85e4-4578-b5f1-1f608a649c47,660f393b-c5c3-8469-4a21-c4a0a6530f6d,EAP4231,,130449.766,86955.773,5348.001,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,02_125A_pipe (FORELINE),02_125A_pipe (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4231A,EAP4231,A,15249.511,2300,A,,[VAC-074] MF FLANGE_NW125,PlumbingComponent,FLANGE,MF FLANGE,(none),(none),,2399087822,/P4-1 PJT/퍼실리티/Component/진공/Flange,01_125A_DC clamp,Round,,,0 mm,125 mm,EQP,f80d6196-63f2-4ded-801b-1572ebd90cb5,33c37cbb-40f2-82d5-7d9b-05463ac7bf89,EAP4231,,130449.766,86955.773,3640.501,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,01_125A_DC clamp (FORELINE),01_125A_DC clamp (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4231A,EAP4231,A,15249.511,2300,A,,[VAC-037] DC CLAMP_CENTERING(FKM)_125A_MF_ASSY,PlumbingComponent,CLAMP,DC CLAMP,(none),(none),,1430370199,/P4-1 PJT/퍼실리티/Component/진공/Centering,01_125A,Round,,,0 mm,125 mm,EQP,9b31fc56-4570-4b47-a9dd-8b14bd89d886,fa2b2aca-308f-61aa-88f2-1c8ac16427f1,EAP4231,,130449.766,86955.773,3636.501,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,01_125A (FORELINE),01_125A (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4231A,EAP4231,A,15249.511,2300,A,,[VAC-074] MF FLANGE_NW125,PlumbingComponent,FLANGE,MF FLANGE,(none),(none),,734294349,/P4-1 PJT/퍼실리티/Component/진공/Flange,02_125A_pipe,Round,,,0 mm,125 mm,EQP,fe8d3241-ad49-43ee-a901-7899937988e2,e72536b8-0a5a-db21-6f24-9d7a4b5e90ec,EAP4231,,130449.766,86955.773,3629.002,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,02_125A_pipe (FORELINE),02_125A_pipe (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4231A,EAP4231,A,15249.511,2300,A,,[VAC-074] MF FLANGE_NW125,PlumbingComponent,FLANGE,MF FLANGE,(none),(none),,3161031500,/P4-1 PJT/퍼실리티/Component/진공/Flange,01_125A_DC clamp,Round,,,0 mm,125 mm,EQP,9ae8cb93-4c81-48ee-99fb-6a909ea96331,bc10f400-414e-4296-4512-3855aaddd675,EAP4231,,130449.797,86955.766,2508,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4231A,EAP4231,A,15249.511,2300,A,,[VAC-032] DC CLAMP(4EA)_CENTERING(FKM)_NW125_MF_ASSY,PlumbingComponent,CLAMP,DC CLAMP,(none),(none),,1822324127,/P4-1 PJT/퍼실리티/Component/진공/Centering,01_125A,Round,,,0 mm,125 mm,EQP,5b2331c6-c8bd-441f-b900-ff416de53746,5b03d125-07f1-fdcf-dcea-ef28d415bdca,EAP4231,,130449.797,86955.766,2504,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4231A,EAP4231,A,15249.511,2300,A,,[VAC-008] BELLOWS SUPPORT_NW125_200L,PlumbingComponent,BELLOWS,SUPPORT BELLOWS,(none),(none),,3153532437,/P4-1 PJT/퍼실리티/Component/진공/Bellows,01_125A,Round,,,0 mm,125 mm,EQP,ac2c50ad-1bdb-469f-b067-0cc5a8564627,cf188b50-7153-97cf-4098-03baf11cfe3b,EAP4231,,130449.797,86955.766,2304,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4231A,EAP4231,A,15249.511,2300,A,,[VAC-027] CENTERING(FKM)_NW125,PlumbingComponent,FLANGE,CENTERING,(none),(none),,976485112,/P4-1 PJT/퍼실리티/Component/진공/Centering,01_125A,Round,,,0 mm,125 mm,EQP,2759b4d6-c06a-4e52-aa1b-dd8986b28a7c,1f88fdd9-42da-447d-8a82-2bf9dbb34331,EAP4231,,130449.797,86955.766,2300,FALSE,TRUE,FALSETRUE,Open,,,,,,,,,,,,,PUMP_DRY_PVSK_A1504XN_2RACK-A2-T70_ETCH-EXHDW_R01,PUMP,,PUMP,EAP4231,8f92022e-5146-469f-b7a2-137de75ab880,Equipment,PCS,PUMP,(none),(none),,3453240369, 129749.805 mm;  86955.766 mm;  300 mm,MF125_VACUUM_INLET,FORELINE,/5D-FORELINE,125 mm,,S5D,Open,,,,,P4HWFE83-02,,MF125_VACUUM_INLET (FORELINE),MF125_VACUUM_INLET (SUS304 AP + HEATING JACKET),,,,,,
EAP4231B,EAP4231,B,15249.511,2300,B,,DEAP_SYM3Y_P4H_[SYM3Y_BCAT_D1B]_CR01,Equipment,MAIN TOOL,ETCH,(none),(none),,3729252631,/P4-1 PJT/생산설비/MAIN TOOL/ETCH/AMAT/SYM3Y(D)/COMBINATION,50A(X-1)_Foreline,Round,FORELINE,/5D-FORELINE,0 mm,50 mm,EQP,33f7ac78-42b0-4d0a-b7b1-afe5ceffdb65,d020085b-8b5b-fdcc-cfb5-e5933143709b,EAP4231,,130053.68,85868.328,15001.154,FALSE,FALSE,FALSEFALSE,Open,,,,,,P4HWFE83-02,,50A(X-1)_Foreline (FORELINE),50A(X-1)_Foreline (SUS304 AP + HEATING JACKET),,,,,,설비,설비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4231B,EAP4231,B,15249.511,2300,B,,[VAC-088] NRC CLAMP_CENTERING(FKM)_NW50_KF_ASSY,PlumbingComponent,CLAMP ASSEMBLY,KF TYPE,(none),(none),,1169541528,/P4-1 PJT/퍼실리티/Component/진공/Centering,50A,Round,,,0 mm,50 mm,EQP,43c883c2-f87d-4ae3-8de5-feec149411b9,62086064-33cd-ac84-82a1-5e3df2583936,EAP4231,,130053.68,85868.328,14997.154,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,50A (FORELINE),50A (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4231B,EAP4231,B,15249.511,2300,B,,[VAC-059] KF FLANGE_SUS_50A,PlumbingComponent,FLANGE,SUS FLANGE,(none),(none),,3967446248,/P4-1 PJT/퍼실리티/Component/진공/Flange,50A,Round,,,0 mm,50 mm,EQP,e2c02072-22ba-4c9c-9440-2c50eb2bdd06,c439428a-aaa4-124a-4a85-cc48a52531a0,EAP4231,,130053.68,85868.328,14977.153,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,50A (FORELINE),50A (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4231B,EAP4231,B,15249.511,2300,B,,[VAC-059] KF FLANGE_SUS_50A,PlumbingComponent,FLANGE,SUS FLANGE,(none),(none),,172420770,/P4-1 PJT/퍼실리티/Component/진공/Flange,50A,Round,,,0 mm,50 mm,EQP,5a69ae4f-5a2f-4056-83de-0aaf55e87bbb,53c4d902-7eb7-4358-2b88-67782054c022,EAP4231,,130053.68,85868.328,14707.153,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,50A (FORELINE),50A (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4231B,EAP4231,B,15249.511,2300,B,,[VAC-088] NRC CLAMP_CENTERING(FKM)_NW50_KF_ASSY,PlumbingComponent,CLAMP ASSEMBLY,KF TYPE,(none),(none),,4264318022,/P4-1 PJT/퍼실리티/Component/진공/Centering,50A,Round,,,0 mm,50 mm,EQP,99d31f86-a0ff-4ba7-938d-c7fc09b6b867,dcc8b1a8-1fdb-fe8c-9fb2-b5d5a44d37d5,EAP4231,,130053.68,85868.328,14703.153,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,50A (FORELINE),50A (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4231B,EAP4231,B,15249.511,2300,B,,[VAC-133] DUAL BELLOWS TI_SUS_NW50_150L,PlumbingComponent,BELLOWS,KF BELLOWS,(none),(none),,2974342721,/P4-1 PJT/퍼실리티/Component/진공/Bellows,01_50A,Round,,,0 mm,50 mm,EQP,7fdd9227-de95-4c36-abc8-108df797ef50,33e5eb83-423c-611a-e231-25d6598ca347,EAP4231,,130053.68,85868.328,14553.154,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,01_50A (FORELINE),01_50A (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4231B,EAP4231,B,15249.511,2300,B,,[VAC-088] NRC CLAMP_CENTERING(FKM)_NW50_KF_ASSY,PlumbingComponent,CLAMP ASSEMBLY,KF TYPE,(none),(none),,2815184983,/P4-1 PJT/퍼실리티/Component/진공/Centering,50A,Round,,,0 mm,50 mm,EQP,88af1a58-d363-4a2d-9124-fc54066f0c22,fbb77a89-56a3-c1e8-db2a-7329852303ed,EAP4231,,130053.68,85868.328,14549.154,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,50A (FORELINE),50A (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4231B,EAP4231,B,15249.511,2300,B,,[VAC-059] KF FLANGE_SUS_50A,PlumbingComponent,FLANGE,SUS FLANGE,(none),(none),,91730465,/P4-1 PJT/퍼실리티/Component/진공/Flange,50A,Round,,,0 mm,50 mm,EQP,5978f447-600f-4694-bf3d-3c0df3de6af2,409e4672-5b1e-6801-fe7e-f53c36ee5504,EAP4231,,130053.68,85868.328,14529.154,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,50A (FORELINE),50A (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
