PUMP	125 mm	EQP	ELP4308		 141745.016 mm	 83641.258 mm	 2300 mm	PM2
PUMP	125 mm	EQP	ELP4311		 141745.016 mm	 71641.258 mm	 2300 mm	PM2
PUMP	125 mm	EMP	ELP4310		 141745.016 mm	 74450.008 mm	 2301 mm	
PUMP	125 mm	EMP	ELP4310		 141745.016 mm	 73950.008 mm	 2301 mm	
PUMP	125 mm	EMP	ELP4310		 141745.016 mm	 74950.008 mm	 2301 mm	
PUMP	125 mm	EQP	ELP4311		 141745.016 mm	 70065.273 mm	 2301 mm	PM3
PUMP	125 mm	EQP	ELP4311		 141745.016 mm	 69565.273 mm	 2301 mm	PM4
PUMP	125 mm	EQP	ELP4312		 141745.016 mm	 67650 mm	 2301 mm	PM2
PUMP	125 mm	EQP	ELP4312		 141745.016 mm	 66650 mm	 2301 mm	PM4
PUMP	125 mm	EQP	ELP4312		 141745.016 mm	 67150 mm	 2301 mm	PM3
PUMP	125 mm	EMP	ELP4313		 141745.016 mm	 62950.004 mm	 2301 mm	
PUMP	125 mm	EMP	ELP4313		 141745.016 mm	 62450.004 mm	 2301 mm	
PUMP	125 mm	EMP	ELP4313		 141745.016 mm	 63450.004 mm	 2301 mm	
PUMP	125 mm	EQP	ELP4235		 135453.562 mm	 87567.531 mm	 2300 mm	PM3
PUMP	125 mm	EQP	ELP4235		 135453.562 mm	 87067.531 mm	 2300 mm	PM2
PUMP	125 mm	EQP	ELP4235		 135453.562 mm	 88067.531 mm	 2300 mm	PM4
PUMP	125 mm	EQP	ELP4226		 135453.578 mm	 79352.289 mm	 2300 mm	PM2
PUMP	125 mm	EQP	ELP4226		 135453.578 mm	 80352.289 mm	 2300 mm	PM4
PUMP	125 mm	EQP	ELP4226		 135453.578 mm	 79852.289 mm	 2300 mm	PM3
PUMP	125 mm	EQP	EPA4206		 135453.562 mm	 58099.656 mm	 2309.949 mm	PM3
PUMP	125 mm	EQP	EPA4206		 135453.562 mm	 60048.004 mm	 2307 mm	PM2
PUMP	125 mm	EQP	EPA4206		 135453.562 mm	 59548.004 mm	 2307 mm	PM1
PUMP	125 mm	EQP	EPA4205		 135453.562 mm	 73334.656 mm	 2307 mm	PM3
PUMP	125 mm	EQP	EPA4205		 135453.562 mm	 74334.656 mm	 2307 mm	PM2
PUMP	125 mm	EQP	EPA4205		 135453.562 mm	 73834.656 mm	 2307 mm	PM1
PUMP	125 mm	EQP	ELP4301		 135453.562 mm	 66150 mm	 2300 mm	PM2
PUMP	125 mm	EQP	ELP4301		 135453.562 mm	 66650 mm	 2300 mm	PM3
PUMP	125 mm	EQP	ELP4301		 135453.562 mm	 67150 mm	 2300 mm	PM4
PUMP	125 mm	EQP	ELP4228		 141745.016 mm	 60050.004 mm	 2301 mm	PM3
PUMP	125 mm	EQP	ELP4228		 141745.016 mm	 60550.004 mm	 2301 mm	PM2
PUMP	125 mm	EQP	ELP4228		 141745.016 mm	 59550.004 mm	 2301 mm	PM4
PUMP	125 mm	EQP	ETO4333		 135453.594 mm	 61450.004 mm	 2300 mm	PM1
PUMP	125 mm	EQP	ETO4333		 135453.594 mm	 61950.004 mm	 2300 mm	PM2
PUMP	125 mm	EQP	ETO4333		 135453.594 mm	 62950.004 mm	 2300 mm	PM6
PUMP	125 mm	EQP	ETO4333		 135453.594 mm	 62450.004 mm	 2300 mm	PM5
PUMP	125 mm	EMP	ESO4307		 124955.008 mm	 69084 mm	 2300 mm	
PUMP	125 mm	EMP	ESO4307		 124955.008 mm	 70084 mm	 2300 mm	
PUMP	125 mm	EMP	ESO4307		 124955.008 mm	 69584 mm	 2300 mm	
PUMP	125 mm	EQP	ESO4306		 124955.008 mm	 89569.008 mm	 2300 mm	PM4
PUMP	125 mm	EQP	ESO4306		 124955.008 mm	 90569.008 mm	 2300 mm	PM6
PUMP	125 mm	EQP	ESO4306		 124955.008 mm	 90069.008 mm	 2300 mm	PM5
PUMP	125 mm	EQP	ESO4306		 124955.008 mm	 87584.008 mm	 2300 mm	PM2
PUMP	125 mm	EQP	ESO4306		 124955.008 mm	 88084.008 mm	 2300 mm	PM3
PUMP	125 mm	EQP	ESO4306		 124955.008 mm	 87084.008 mm	 2300 mm	PM1
PUMP	125 mm	EMP	ESO4307		 124955.008 mm	 72569 mm	 2300 mm	
PUMP	125 mm	EMP	ESO4307		 124955.008 mm	 72069 mm	 2300 mm	
PUMP	125 mm	EMP	ESO4307		 124955.008 mm	 71569 mm	 2300 mm	
PUMP	125 mm	EMP	EPA4313		 124955.008 mm	 59500.004 mm	 2307 mm	
PUMP	125 mm	EMP	EPA4313		 124955.008 mm	 60000.004 mm	 2307 mm	
PUMP	125 mm	EMP	EPA4313		 124955.008 mm	 58099.656 mm	 2309.949 mm	
